Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Petrochemical Production,Carbon Black,MT,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NC,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,ND,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NE,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NH,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NJ,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NM,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NV,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,NY,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,OH,CO2,125.4668214,140.6150124,153.1719788,160.7325849,157.1120209,149.0337686,139.8854987,146.7495843,209.169567,197.9051862,190.9284015,177.1342891,187.3991554,182.1554316,194.1919981,188.057994,172.6780663,181.6677418,163.8129421,133.3176632,165.3112033,172.2557298,173.7756333,161.6164053,165.6694813,165.1628468,160.0965018,167.6960193,174.2822678,167.1893848,132.2316043,151.9903498,155.0301568,136.6943204
Petrochemical Production,Carbon Black,OK,CO2,151.6057425,156.8398216,273.5213907,292.7629225,308.1812717,309.9902386,308.9138096,324.0719987,316.5809663,307.0204781,296.1970337,274.7975188,288.6959961,280.617827,299.1606458,289.7109638,265.1841732,278.9897463,251.5698754,204.7378399,253.8707765,264.535585,266.8697226,248.1966224,254.4209891,253.6429433,245.8624849,257.5331725,267.6477684,256.7551267,203.0699638,233.4137515,238.0820265,209.9234205
Petrochemical Production,Carbon Black,OR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,PA,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,RI,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,SC,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,SD,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,TN,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,TX,CO2,1270.351566,1254.718572,1274.609681,1417.891017,1552.991899,1523.125115,1480.454861,1553.099767,1605.517758,1545.799968,1579.029483,1464.948445,1544.776821,1501.551531,1443.318905,1397.728334,1282.751349,1349.531796,1216.896142,990.3597839,1172.922347,1162.726176,1172.985525,1090.910736,1118.268999,1114.849216,1080.651387,1131.94813,1176.405308,1128.528347,892.5633293,1025.934861,1046.453559,922.6866624
Petrochemical Production,Carbon Black,UT,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,VA,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,VT,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,WA,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,WI,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,WV,CO2,365.9448957,378.5788796,382.929947,413.3123612,422.9939023,444.1206304,460.4564331,483.050715,446.6052918,449.2982606,433.4590738,402.1427105,425.4467311,413.5420609,440.8683201,426.9424729,392.6370316,304.9422809,177.4640206,71.42017672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,WY,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
