Source,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ammonia Production,ME,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,MI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,MN,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,MO,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,MS,CO2e,413.7600714,413.9559252,425.5563255,416.1276394,439.5810005,407.663971,414.5409034,424.4655109,569.403772,547.10588,468.6263555,369.5675624,437.802869,397.8629474,329.5488667,363.4873123,375.310326,442.5887153,417.7490106,393.9345521,463.3598147,388.997931,374.8888484,411.3422522,462.4044002,465.6052295,382.9494284,417.3718251,393.7898211,372.5225992,409.1320451,331.2732641,396.2535289,431.0652445
Ammonia Production,MT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,NC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,ND,CO2e,0,19.86988441,20.62167216,20.16477548,21.30128196,19.71122497,82.90818067,283.2711621,295.3118942,283.7474595,273.9313479,216.0274157,255.9137544,232.5672301,258.3720057,290.6297233,300.0829259,353.8759993,334.0151781,314.9741022,114.6134276,197.4677612,184.3277271,210.6880357,179.7999476,255.0175901,171.9490754,200.5424315,239.2173319,213.8314579,247.5902368,247.1385909,254.0400686,236.5258622
Ammonia Production,NE,CO2e,469.2039209,364.2812142,374.0021451,373.964927,399.8831568,391.5366052,398.141483,385.637065,386.381131,216.6335394,205.259853,161.8717826,191.7590666,174.2652523,188.6186818,212.1677043,219.0688026,258.3392281,243.8402815,229.9397716,235.2335637,233.0100486,228.2377691,253.2728387,258.5758928,210.1701303,242.7407666,241.2345514,233.7859342,255.4912604,258.833111,227.9726475,259.1910487,254.417012
Ammonia Production,NH,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,NJ,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,NM,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,NV,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,NY,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,OH,CO2e,438.5856756,438.7932807,450.8647414,440.8753184,478.310604,468.5895755,476.4942691,486.2380384,487.1762086,468.0983538,409.0104423,322.5533315,408.1930132,336.3575643,385.778587,433.9430028,448.057702,528.3768364,498.7223871,470.2919102,448.5910899,473.7178211,479.1853958,497.4238045,462.4622546,415.2160303,514.3333683,500.7850748,496.1541253,487.8065547,449.8499635,570.0241,541.8307136,530.775766
Ammonia Production,OK,CO2e,1931.432013,2023.416562,2077.164796,2089.804004,2249.221727,2155.69124,2192.055854,2341.178795,2365.147655,2272.528306,1956.005658,1344.368959,1592.587248,1447.298548,1732.444798,1827.044156,1886.471727,2224.641957,2099.786877,1980.085127,2113.708911,1982.271468,2087.284116,1869.259924,1855.634678,1724.521011,1769.805405,1910.981824,1885.17937,1871.441802,2125.767835,1884.526807,2003.914773,1992.247364
Ammonia Production,OR,CO2e,72.82177256,72.85624283,74.98789877,70.57671417,74.55448686,76.15700558,77.44170722,77.6568918,77.8067266,74.75980969,70.18075855,54.15563314,71.20465342,64.70878855,71.88862968,80.8639175,83.49414742,98.46136619,92.93535258,87.63742238,81.47379022,83.1459912,80.31643371,89.05090246,93.51612803,78.66457581,69.72945745,73.36156505,58.64826283,63.33813944,57.50196718,70.05941776,64.54819545,63.18219465
Ammonia Production,PA,CO2e,28.963205,28.97691476,29.99515951,29.33058251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,RI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,SC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,SD,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,TN,CO2e,281.3568485,281.4900291,288.7034103,282.3068567,298.2179475,318.9634587,324.3440914,314.1574259,314.7635758,302.4374119,279.9684024,243.4027907,288.3435965,238.3333598,0,0,0,0,0,0,0,0,0,0,0,0,8.111930187,37.57363185,38.71185385,37.36633601,39.15402772,43.04585602,37.92430191,32.27681098
Ammonia Production,TX,CO2e,736.492927,800.5907593,893.2933441,873.5014104,927.5740054,895.9647715,911.0789085,898.3490438,908.0398662,872.4809608,1134.966246,921.8359971,742.3613866,674.6371718,604.2915504,494.7910992,510.8849813,477.6838558,450.8744828,425.1716531,354.5758213,350.278727,398.2397214,336.2044002,375.9925362,324.5224816,190.2390324,262.9905952,478.9735857,294.7304241,317.4042947,223.6352131,318.0868059,228.752555
Ammonia Production,UT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,VA,CO2e,339.2832585,339.4438586,365.5660065,359.2996358,379.5501149,366.4495916,372.6312736,360.9280539,361.6244452,347.4632064,308.6444112,243.4027907,288.3435965,262.0385596,291.1133618,424.3354087,438.1376053,516.6784562,487.680563,459.8795432,468.1376103,421.8763084,454.9968435,443.8941998,482.3075497,431.2750596,389.5111984,407.9881358,376.829803,418.0689655,384.3347853,399.6923192,376.6005372,406.5281013
Ammonia Production,VT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,WA,CO2e,139.023384,139.0891909,23.43371837,0,0,134.3947157,136.6618363,132.3697019,132.6251022,127.4314938,135.8337262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,WI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,WV,CO2e,41.37600714,41.39559252,42.18069306,41.24613166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,WY,CO2e,140.6784243,140.7450146,144.3517051,141.1534283,161.6960949,154.1059407,156.7055723,153.5488542,153.8451185,147.8205328,131.3059353,139.8524592,182.5941112,111.478507,123.8477383,139.3101153,143.8414025,169.626512,160.106449,150.9793217,131.1070134,130.514695,152.0589893,135.5647781,153.3601134,154.4239023,149.5849694,170.7875607,321.2579715,313.012451,376.5141195,342.5600683,360.7478794,358.1842697
