Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MC,0.003548098,0.0036464,0.003744702,0.003843004,0.003941306,0.004039608,0.00413791,0.004236212,0.004334514,0.004432816,0.003974263,0.003626069,0.003618152,0.003685235,0.004725287,0.004325013,0.006011485,0.006697972,0.006682575,0.006708115,0.005970678,0.006009554,0.006824749,0.006597182,0.006515953,0.006350895,0.006566896,0.006560669,0.006727427,0.006856612,0.007077647,0.007271652,0.007421987
LDGV,0.648714171,0.633116897,0.617519623,0.601922349,0.586325075,0.5707278,0.555130526,0.539533252,0.523935978,0.508338703,0.500252522,0.493045561,0.485901187,0.477738193,0.464821216,0.45659444,0.443565873,0.439736429,0.440930589,0.439621134,0.436249502,0.415304157,0.366162613,0.374240158,0.372254003,0.366075178,0.359985305,0.350303592,0.352129305,0.353237963,0.35388233,0.35409786,0.354666246
LDGT,0.300207355,0.316919474,0.333631594,0.350343713,0.367055832,0.383767952,0.400480071,0.41719219,0.43390431,0.450616429,0.462465477,0.471451414,0.479635457,0.488049529,0.50258794,0.513418999,0.523232638,0.528440877,0.525954417,0.528982815,0.535140723,0.557435826,0.605325552,0.596745123,0.597899055,0.603934172,0.608930367,0.617545508,0.614559579,0.612197509,0.610291807,0.608921855,0.607244335
HDGV,0.045298804,0.044182072,0.043065341,0.041948609,0.040831877,0.039715145,0.038598414,0.037481682,0.03636495,0.035248218,0.032039502,0.030839688,0.029821801,0.029455031,0.026857654,0.02470076,0.026145874,0.024033826,0.025273708,0.023593674,0.021468364,0.019958139,0.020171992,0.020713065,0.021414213,0.021621249,0.022413039,0.023281357,0.024143027,0.025125055,0.026048777,0.026907466,0.027774045
HDGB,0.002231571,0.002135156,0.002038741,0.001942325,0.00184591,0.001749495,0.001653079,0.001556664,0.001460249,0.001363834,0.001268235,0.001037268,0.001023403,0.001072013,0.001007903,0.000960788,0.001044131,0.001090896,0.001158711,0.001094261,0.001170733,0.001292325,0.001515094,0.001704472,0.001916776,0.002018506,0.002104392,0.002308874,0.002440662,0.002582861,0.002699439,0.002801167,0.002893388
LDDV,0.04334717,0.039679253,0.036011336,0.032343419,0.028675502,0.025007585,0.021339668,0.017671751,0.014003834,0.010335917,0.008997245,0.007915071,0.007015177,0.006160431,0.005694578,0.005457824,0.005093096,0.004504107,0.00414817,0.004856567,0.005456395,0.006335608,0.006432364,0.006601128,0.006952637,0.008228499,0.007680803,0.007123246,0.006580727,0.006318063,0.006215754,0.0061974,0.00615412
LDDT,0.038683234,0.040446506,0.042209778,0.04397305,0.045736322,0.047499594,0.049262866,0.051026138,0.05278941,0.054552682,0.056720209,0.059576723,0.063423272,0.065462681,0.071912095,0.074985762,0.076925402,0.07580441,0.073211557,0.077767541,0.075526373,0.082248897,0.088866075,0.081765762,0.078335142,0.078328982,0.076745708,0.074694936,0.073319511,0.073064631,0.074353385,0.076173291,0.07802545
HDDT,0.867187564,0.869058737,0.870929909,0.872801082,0.874672254,0.876543427,0.878414599,0.880285772,0.882156944,0.884028117,0.884323686,0.890932713,0.88767285,0.888674535,0.882467116,0.881304183,0.87921654,0.880876682,0.883676588,0.876555741,0.880406301,0.870535351,0.861760318,0.868497337,0.86937851,0.867078092,0.869473094,0.870851129,0.872246762,0.872218277,0.870691687,0.868626958,0.866360254
HDDB,0.050782032,0.050815505,0.050848977,0.050882449,0.050915922,0.050949394,0.050982867,0.051016339,0.051049811,0.051083284,0.04995886,0.041575492,0.041888702,0.039702354,0.039926211,0.038252231,0.038764962,0.038814802,0.038963685,0.040820151,0.038610931,0.040880145,0.042941243,0.043135772,0.045333711,0.046364428,0.046100396,0.047330689,0.047853,0.048399029,0.048739174,0.049002352,0.049460175
