sector_description,source_description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
electric power,other hydrocarbon gas liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
electric power,petroleum coke,30.367,29.329,45.006,78.648,69.717,80.556,79.571,101.558,123.554,112.491,98.641,103.226,175.176,174.667,210.811,231.132,203.043,162.557,146.391,131.842,136.595,138.32,85.054,122.518,118.155,111.716,118.317,97.208,101.482,75.913,87.427,87.94,84.8
electric power,residual fuel oil,1162.562,1085.292,872.17,958.645,869,565.973,628.391,714.634,1046.96,958.723,870.834,1002.803,658.71,869.363,879.022,876.462,360.527,396.624,240.421,180.955,154.052,93.065,76.72,77.225,95.138,93.861,70.68,65.788,78.251,58.794,52.696,57.304,75.6
industrial,asphalt and road oil,1170.193,1076.535,1102.22,1149.02,1172.917,1178.175,1175.932,1223.566,1262.552,1324.413,1275.678,1256.865,1239.957,1219.538,1303.848,1323.238,1261.166,1197.039,1011.971,873.083,877.768,859.489,826.697,783.347,792.636,831.66,853.366,849.182,792.763,843.883,832.273,898.085,916.1
industrial,aviation gasoline blending components,0.237256,-0.080768,0.156488,0.146392,6.097984,5.290304,6.951096,9.056112,4.003064,6.395816,3.816288,6.072744,7.516472,7.47104,10.615944,8.324152,0.641096,1.781944,0.095912,-0.802632,-0.242304,0.010096,-0.005048,-0.3786,-0.141344,-0.348312,-0.292784,-0.191824,-1.554784,-1.191328,-0.787488,-0.837968,-0.7
industrial,coal coke,1041.862177,907.2450115,867.3842593,839.45238,850.6424788,884.7063776,849.714368,809.4404268,773.0999677,770.8866072,793.688611,715.136488,648.7858906,664.9918287,649.1759432,615.8267111,603.1081809,598.075162,580.0131812,403.6010198,554.6181631,563.6900309,594.2362886,616.4103089,606.0596388,562.2017328,471.5945265,502.8574112,524.57351,514.3645031,413.9152363,504.1955816,459
industrial,crude oil,50.8834,38.947,27.3644,21.1526,18.6818,14.5348,13.7286,4.6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial,distillate fuel oil,1128.175556,1078.63471,1052.540504,1013.005122,988.7912799,987.1755733,1072.648117,1078.245035,1055.827618,1007.365814,1028.473995,1201.341267,1063.073401,1065.483276,1149.555065,1137.697085,1211.35544,1181.612024,1110.736804,1016.57842,1118.112372,1236.17805,1131.809659,1147.048267,1281.432298,1025.169154,946.6948078,911.6475848,1064.39248,1027.2795,878.7974862,807.0119046,"1,041.80"
industrial,hydrocarbon gas liquids,1529.326303,1662.542915,1774.584745,1703.870115,1911.182813,1929.459553,1987.131928,2035.41764,1953.941976,2145.680835,2153.04637,1947.469666,2088.493159,1963.430225,2068.813422,1941.334784,2030.245257,2026.896729,1750.339128,1863.969983,2050.787662,2116.772757,2266.52987,2450.899788,2321.842279,2458.928443,2482.829861,2503.309934,2803.509462,2808.051623,2901.399812,3091.541511,"3,242.40"
industrial,kerosene,12.274,11.382,9.79,13.053,16.912,15.444,18.301,18.812,22.071,12.84,15.64,23.223,13.808,24.113,28.219,39.076,29.576,13.422,3.83,4.399,7.318,3.615,2.008,1.477,2.829,1.728,2.266,1.115,1.623,1.42,3.023,2.391,1.3
