Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iron and Steel Production,All,IL,CO2e,7558.175817,6899.335707,6984.843397,6662.31071,6838.299693,7146.256539,7031.418106,7137.49481,6297.195252,5840.650612,5363.84568,4167.670163,4837.829066,4906.511432,2853.295365,2995.423219,2911.362875,2900.463465,2707.63736,1451.651354,3232.250761,3693.354649,3436.751279,3577.258623,3703.304242,1747.627019,313.522279,293.4538403,783.3073793,2439.559369,2238.001127,2227.870152,2479.585383,2096.508135
Iron and Steel Production,All,IN,CO2e,24295.87022,22163.37677,22243.72356,21215.85712,21536.7534,22565.23662,22163.2416,22498.41711,20114.9555,21244.10368,20951.53533,18915.96812,15619.26828,16274.45872,18286.03891,16873.24916,17853.21491,17951.57918,17769.76086,12682.14661,22614.12027,23478.65504,22244.08092,21670.2093,23978.84692,20706.19192,20865.72127,19259.40188,19556.28053,21431.70484,19319.51495,23206.99429,22330.97363,22723.75022
Iron and Steel Production,All,KS,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,KY,CO2e,3122.50831,2812.815879,2879.588092,2752.500221,2864.672647,3001.375061,2926.241375,2962.409779,2731.83389,2322.169312,1976.944565,1336.032854,1018.293905,1114.092009,1142.374668,1303.398552,1480.355653,1610.739426,1523.704904,1016.6137,2333.394909,2771.302033,2524.295542,2345.450601,1912.041066,1721.834421,247.1530279,303.2750265,307.3656943,259.4449723,247.3687428,257.1361711,196.7115418,0
Iron and Steel Production,All,LA,CO2e,253.0611634,230.1091858,234.8251794,226.4269926,228.1230191,237.8645144,234.8781293,239.4956852,302.1632961,373.0000392,536.5647217,766.2675384,1007.966119,767.5903139,483.8850929,273.0672612,134.0687459,0,0,0,37.36654762,35.341636,32.97016662,38.76829491,23.81191073,32.84706158,26.46350028,29.87975391,33.83515937,0,0,9.868011024,375.5030251,0
Iron and Steel Production,All,MA,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,MD,CO2e,1919.559404,1729.825818,1613.239481,1555.639272,1567.195911,1634.119589,1613.603244,1645.325666,1472.009867,1256.030049,1398.930093,1333.220378,1335.671389,1038.365306,1261.327799,1079.717035,1047.325638,1023.800334,988.6989108,586.5647816,1880.350956,2275.366571,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,ME,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,MI,CO2e,6812.697885,6140.744558,6179.473726,5958.568678,6229.069949,6480.925102,6364.275873,6472.283945,5969.846543,5610.361539,5765.787367,5414.4056,5040.489139,4617.114258,4181.136692,4422.309067,4469.619601,4038.976534,3705.718399,2010.772038,4893.656861,4727.067468,4889.905944,5028.356336,4676.664394,4439.481515,4364.71272,4126.149274,4159.199681,3231.084831,1401.576759,1542.705617,1507.321048,1532.703298
Iron and Steel Production,All,MN,CO2e,209.5613822,190.5547196,194.4600606,187.5054745,188.9099637,196.9769511,194.5039087,198.3277329,201.8684617,201.3712798,200.7525871,156.0780893,151.3309437,150.0376814,142.8462872,125.2967628,136.1050496,142.7674994,125.6067551,79.86662009,26.55623663,20.84449332,21.68509822,13.43473387,19.64301661,13.61890636,21.23575572,23.8283435,12.93265919,14.87073106,10.74716206,1.157161929,0.7740346,0
