Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Petrochemical Production,All,MI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,MN,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,MO,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,MS,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,MT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,ND,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NE,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NH,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NJ,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NM,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NV,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,NY,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,OH,CO2e,278.7379132,290.7558161,313.5638615,302.9975596,331.5053773,330.9279146,323.6371515,318.3646201,364.7280034,353.4636226,361.3281022,325.338543,330.0421819,338.1343667,354.8025316,349.8322103,343.5322814,357.3073435,307.0247487,258.7946425,324.9068775,310.0534507,333.1246565,292.7853638,299.2787925,293.2813644,276.623344,294.5943605,326.8043125,287.9868442,241.2298827,270.9620113,286.6323652,283.9581995
Petrochemical Production,All,OK,CO2e,151.6057425,156.8398216,273.5213907,292.7629225,308.1812717,336.2177068,333.7900067,350.498908,341.8505969,336.6076558,324.1311959,299.0329364,316.4655897,308.0996062,328.4456948,310.2007314,290.2539694,305.9103329,276.6396717,230.8171582,253.8707765,264.535585,266.8697226,248.1966224,254.4209891,253.6429433,245.8624849,257.5331725,267.6477684,256.7551267,203.0699638,233.4137515,238.0820265,209.9234205
Petrochemical Production,All,OR,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,PA,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.9239286,815.2762079
Petrochemical Production,All,RI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,SC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,SD,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,TN,CO2e,42.10874351,44.35454316,36.14055022,41.75772571,42.98460537,36.06276876,34.20477108,36.3370003,34.74574212,51.777561,48.88478379,42.41198071,48.5967889,48.09311351,51.24883587,35.85709335,43.87214346,47.11102654,43.87214346,45.63880696,52.01969167,49.88189613,36.76134047,45.62839746,51.35085465,68.81866269,55.52157662,48.21610601,43.39275192,45.30437045,45.43627642,43.73579036,44.96496915,47.88769215
Petrochemical Production,All,TX,CO2e,12272.36056,13200.41881,13571.03727,13862.50603,15322.764,16100.1954,16752.37889,17518.44425,17754.30704,18934.60728,18772.25054,16849.71972,17841.12495,17719.42352,19089.51215,17113.17539,17622.29677,17887.12442,15739.0151,15455.4891,17624.72262,16897.82754,16978.17708,16926.10292,16581.64782,17545.66594,17216.44782,17701.17615,17924.18834,18655.20055,17784.91804,19383.69335,18322.49868,19406.30992
Petrochemical Production,All,UT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,VA,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,VT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,WA,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,WI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,WV,CO2e,365.9448957,378.5788796,382.929947,413.3123612,422.9939023,444.1206304,460.4564331,483.050715,446.6052918,449.2982606,433.4590738,402.1427105,425.4467311,413.5420609,440.8683201,426.9424729,392.6370316,304.9422809,177.4640206,71.42017672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,WY,CO2e,0,0,0,19.74001579,20.31999527,17.04785432,16.16952815,17.17749105,16.42525991,19.23166551,18.15720541,15.75302141,18.05023588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
