msn,eia_description,unit,source_code,sector_code,source_description,sector_description
WDEIB,wood consumed by the electric power sector,billion btu,WD,EI,wood,electric power sector (consumption)
WDEXB,densified biomass exports (available for 2016 forward),billion btu,WD,EX,wood,exports
WDICB,wood energy consumed by the industrial sector,billion btu,WD,IC,wood,industrial sector
WDPRB,wood energy production,billion btu,WD,PR,wood,primary energy production
WDRCB,wood energy consumed by the residential sector,billion btu,WD,RC,wood,residential sector
WDRSB,wood energy consumed in the residential sector at a cost,billion btu,WD,RS,wood,residential sector adjusted consumption
WDRXB,wood energy consumed in the residential sector at no cost,billion btu,WD,RX,wood,NA
WDTCB,wood energy total consumption,billion btu,WD,TC,wood,total consumption of all energy-consuming sectors
WSCCB,waste energy consumed by the commercial sector,billion btu,WS,CC,NA,commercial sector
WSEIB,waste consumed by the electric power sector,billion btu,WS,EI,NA,electric power sector (consumption)
WSICB,waste energy consumed by the industrial sector,billion btu,WS,IC,NA,industrial sector
WSTCB,waste energy total consumption,billion btu,WS,TC,NA,total consumption of all energy-consuming sectors
WWCCB,wood and waste consumed in the commercial sector,billion btu,WW,CC,wood and waste,commercial sector
WWCSB,wood and waste energy consumed in the commercial sector at a cost,billion btu,WW,CS,wood and waste,commercial sector adjusted consumption
WWCXB,wood and waste energy consumed in the commercial sector at no cost,billion btu,WW,CX,wood and waste,NA
WWEIB,wood and waste consumed by the electric power sector,billion btu,WW,EI,wood and waste,electric power sector (consumption)
WWICB,wood and waste consumed in the industrial sector,billion btu,WW,IC,wood and waste,industrial sector
WWISB,wood and waste energy consumed in the industrial sector at a cost,billion btu,WW,IS,wood and waste,industrial sector adjusted consumption
WWIXB,wood and waste energy consumed in the industrial sector at no cost,billion btu,WW,IX,wood and waste,NA
WWPRB,wood and waste energy production,billion btu,WW,PR,wood and waste,primary energy production
WWSCB,"wood and waste energy total consumption, adjusted for fuels with no direct cost",billion btu,WW,SC,wood and waste,"total adjusted consumption, all sectors"
WWTCB,wood and waste total consumption,billion btu,WW,TC,wood and waste,total consumption of all energy-consuming sectors
WWTXB,wood and waste total end-use consumption,billion btu,WW,TX,wood and waste,total end-use consumption
WXICB,waxes consumed by the industrial sector,billion btu,WX,IC,waxes,industrial sector
WYCCB,wind energy consumed by the commercial sector,billion btu,WY,CC,NA,commercial sector
WYEGB,wind energy consumed for electricity generation by the electric power sector,billion btu,WY,EG,NA,electric power sector (generation)
WYICB,wind energy consumed by the industrial sector,billion btu,WY,IC,NA,industrial sector
WYTCB,wind energy total consumption,billion btu,WY,TC,NA,total consumption of all energy-consuming sectors
WYTXB,wind energy total end-use consumption,billion btu,WY,TX,NA,total end-use consumption
WZEIB,"waste, excluding biodiesel, consumed by the electric power sector",billion btu,WZ,EI,NA,electric power sector (consumption)
WZTCB,"waste, excluding biodiesel, total consumption",billion btu,WZ,TC,NA,total consumption of all energy-consuming sectors
NNCCB,NA,NA,NN,CC,natural gas consumed by the commercial sector (excluding supplemental gaseous fuels),commercial sector
NNEIB,NA,NA,NN,EI,natural gas consumed by the electric power sector (excluding supplemental gaseous fuels),electric power sector (generation)
NNICB,NA,NA,NN,IC,natural gas consumed by the industrial sector (excluding supplemental gaseous fuels),industrial sector
NNRCB,NA,NA,NN,RC,natural gas consumed by the residential sector (excluding supplemental gaseous fuels),residential sector
